Time(s),CH1V,CH2V,CH3V
-5.920000e-04,4.913333e+00,3.988533e+00,-1.560000e-02
-5.900000e-04,4.920400e+00,3.976933e+00,-8.666667e-03
-5.880000e-04,4.904000e+00,3.988533e+00,-1.093333e-02
-5.860000e-04,4.915733e+00,3.986267e+00,-1.786667e-02
-5.840000e-04,4.911067e+00,3.979333e+00,-1.786667e-02
-5.820000e-04,4.911067e+00,3.986267e+00,-8.666667e-03
-5.800000e-04,4.904000e+00,3.986267e+00,-1.786667e-02
-5.780000e-04,4.911067e+00,3.979333e+00,-8.666667e-03
-5.760000e-04,4.887600e+00,3.974667e+00,-2.706667e-02
-5.740000e-04,4.906400e+00,3.972267e+00,-2.013333e-02
-5.720000e-04,4.925067e+00,3.970000e+00,-1.320000e-02
-5.700000e-04,4.899333e+00,3.974667e+00,-2.253333e-02
-5.680000e-04,4.913333e+00,3.979333e+00,-3.173333e-02
-5.660000e-04,4.906400e+00,3.974667e+00,-2.013333e-02
-5.640000e-04,4.908667e+00,3.974667e+00,-2.946667e-02
-5.620000e-04,4.915733e+00,3.979333e+00,-1.320000e-02
-5.600000e-04,4.885334e+00,3.979333e+00,-2.253333e-02
-5.580000e-04,4.904000e+00,3.986267e+00,-1.786667e-02
-5.560000e-04,4.897067e+00,3.972267e+00,-1.320000e-02
-5.540000e-04,4.890000e+00,3.976933e+00,-1.560000e-02
-5.520000e-04,4.901733e+00,3.981600e+00,-1.786667e-02
-5.500000e-04,4.918133e+00,3.976933e+00,-1.093333e-02
-5.480000e-04,4.911067e+00,3.981600e+00,-2.013333e-02
-5.460000e-04,4.904000e+00,3.976933e+00,-2.013333e-02
-5.440000e-04,4.925067e+00,3.988533e+00,-2.480000e-02
-5.420000e-04,4.918133e+00,3.986267e+00,-1.320000e-02
-5.400000e-04,4.920400e+00,3.981600e+00,-1.560000e-02
-5.380000e-04,4.906400e+00,3.986267e+00,-1.560000e-02
-5.360000e-04,4.906400e+00,3.984000e+00,-2.946667e-02
-5.340000e-04,4.906400e+00,3.976933e+00,-8.666667e-03
-5.320000e-04,4.901733e+00,3.984000e+00,-3.173333e-02
-5.300000e-04,4.911067e+00,3.979333e+00,-1.786667e-02
-5.280000e-04,4.915733e+00,3.979333e+00,-3.173333e-02
-5.260000e-04,4.922800e+00,3.967600e+00,-1.093333e-02
-5.240000e-04,4.904000e+00,3.986267e+00,-1.320000e-02
-5.220000e-04,4.901733e+00,3.974667e+00,-8.666667e-03
-5.200000e-04,4.913333e+00,3.970000e+00,-1.786667e-02
-5.180000e-04,4.918133e+00,3.974667e+00,-1.560000e-02
-5.160000e-04,4.906400e+00,3.981600e+00,-2.253333e-02
-5.140000e-04,4.901733e+00,3.979333e+00,-8.666667e-03
-5.120000e-04,4.918133e+00,3.965333e+00,-2.013333e-02
-5.100000e-04,4.913333e+00,3.990933e+00,-6.266667e-03
-5.080000e-04,4.904000e+00,3.981600e+00,-1.320000e-02
-5.060000e-04,4.906400e+00,3.976933e+00,-2.013333e-02
-5.040000e-04,4.892400e+00,3.984000e+00,-1.093333e-02
-5.020000e-04,4.901733e+00,3.974667e+00,-1.786667e-02
-5.000000e-04,4.904000e+00,3.981600e+00,-1.786667e-02
-4.980000e-04,2.360000e-02,3.939733e+00,-1.560000e-02
